id,first,last,exposure
621e2e8e67b776a24055b564,2021-05-24,2021-07-25,63
621e2eaf67b776a2406b14ac,2022-01-05,2022-01-16,12
621e2ed667b776a24085d8d1,2021-05-30,2021-07-26,58
621e2f1b67b776a240b3d87c,2021-11-21,2022-01-16,57
621e2f3967b776a240c654db,2021-05-24,2021-07-25,63
621e2f5767b776a240d8f9d6,2021-11-16,2022-01-16,62
621e2f6167b776a240e082a9,2021-05-24,2021-07-25,63
621e2f7a67b776a240f14425,2021-05-24,2021-07-26,64
621e2f9167b776a240011ccb,2021-11-15,2022-01-17,64
621e2fb367b776a24015accd,2021-05-25,2021-07-26,63
621e2fce67b776a240279baa,2021-05-24,2021-07-25,63
621e2ff067b776a2403eb737,2021-11-17,2022-01-16,61
621e300767b776a2404dc717,2021-11-17,2022-01-16,61
621e301367b776a24057738e,2021-05-25,2021-07-25,62
621e301e67b776a240608a72,2021-05-24,2022-01-16,238
621e309267b776a240ae1cdb,2021-11-15,2022-01-16,63
621e30c867b776a240d4aa6c,2021-05-25,2021-07-26,63
621e30e267b776a240e5bf90,2021-11-15,2022-01-16,63
621e30e467b776a240e817c7,2021-05-24,2021-07-25,63
621e30f467b776a240f22944,2021-11-15,2022-01-17,64
621e310d67b776a24003096d,2021-11-15,2022-01-16,63
621e312a67b776a240164d59,2021-11-15,2022-01-16,63
621e314867b776a24029ebf9,2021-06-01,2021-07-25,55
621e322367b776a240e44e9b,2021-11-16,2022-01-17,63
621e323667b776a240f19134,2021-11-16,2022-01-16,62
621e324e67b776a2400191cb,2021-11-15,2022-01-16,63
621e326767b776a24012e179,2021-05-31,2021-07-25,56
621e328667b776a240281372,2021-05-26,2021-07-25,61
621e329067b776a2402ffad2,2021-05-24,2021-07-26,64
621e32af67b776a24045b4cf,2021-05-24,2021-07-26,64
621e32d067b776a2405b7d54,2021-11-15,2022-01-16,63
621e32d967b776a240627414,2021-05-24,2021-07-26,64
621e32e667b776a2406d2f1c,2021-11-23,2022-01-16,55
621e331067b776a24085dd3f,2021-11-15,2022-01-17,64
621e332267b776a24092a584,2021-05-24,2021-07-26,64
621e333567b776a240a0c217,2021-11-23,2022-01-16,55
621e333967b776a240a3cd06,2021-11-27,2022-01-16,51
621e335a67b776a240bb12ff,2021-05-30,2021-07-25,57
621e337667b776a240ce78ab,2021-05-24,2021-07-26,64
621e339967b776a240e502de,2021-11-19,2022-01-16,59
621e33b067b776a240f39e56,2021-05-26,2021-07-26,62
621e33cf67b776a240087de9,2021-11-15,2022-01-16,63
621e33ed67b776a2401cf5f7,2021-06-03,2021-07-26,54
621e340467b776a2402d7982,2021-11-15,2022-01-16,63
621e341067b776a24037b105,2021-05-30,2021-07-25,57
621e345c67b776a2407146a8,2021-06-08,2021-07-25,48
621e346f67b776a24081744f,2021-11-29,2022-01-17,50
621e34ca67b776a240be3b69,2021-05-24,2021-07-25,63
621e34db67b776a240c9c2be,2021-05-25,2021-07-25,62
621e34ec67b776a240d60873,2021-05-27,2021-07-25,60
621e34f767b776a240de4e1a,2021-05-25,2021-07-25,62
621e34ff67b776a240e446d6,2021-05-24,2021-07-25,63
621e351a67b776a240f6204b,2021-05-31,2021-07-26,57
621e356967b776a24027bd9f,2021-11-24,2022-01-16,54
621e362467b776a2404ad513,2021-04-07,2021-07-25,110
621e366567b776a24076a727,2021-11-16,2022-01-16,62
621e367e67b776a24087d75d,2021-11-28,2022-01-16,50
621e36bb67b776a240b40d64,2021-05-30,2021-07-25,57
621e36c267b776a240ba2756,2021-05-24,2021-07-25,63
621e36dd67b776a240ce9a45,2021-05-26,2021-07-25,61
621e36f967b776a240e5e7c9,2021-04-28,2021-07-26,90
621e375367b776a24021e950,2021-11-30,2022-01-16,48
621e375b67b776a240290cdc,2021-05-24,2021-07-25,63
